Combo/MI name	Type	NID
	link_type	11
	link_type	12
	link_type	13
	link_type	14
	link_type	15
	pci_type	16
	pci_type	17
	pci_type	18
	nhpid_ingredient	29630
	nhpid_ingredient	29631
	nhpid_ingredient	29632
	nhpid_ingredient	29633
	nhpid_ingredient	29634
	nhpid_ingredient	29635
	nhpid_ingredient	29636
	nhpid_ingredient	29637
	nhpid_ingredient	29638
	nhpid_ingredient	29639
	nhpid_ingredient	29640
	nhpid_ingredient	29641
	nhpid_ingredient	29642
	nhpid_ingredient	29643
	nhpid_ingredient	29644
	nhpid_ingredient	29645
	nhpid_ingredient	29646
	nhpid_ingredient	29647
	nhpid_ingredient	29648
	nhpid_ingredient	29649
	nhpid_ingredient	29650
	nhpid_ingredient	29651
	nhpid_ingredient	29652
	nhpid_ingredient	29653
	nhpid_ingredient	29654
	nhpid_ingredient	29655
	nhpid_ingredient	29656
	nhpid_ingredient	29657
	nhpid_ingredient	29658
	nhpid_ingredient	29659
	nhpid_ingredient	29660
	nhpid_ingredient	29661
	nhpid_ingredient	29662
	nhpid_ingredient	29663
	nhpid_ingredient	29664
	nhpid_ingredient	29665
	nhpid_ingredient	29666
	nhpid_ingredient	29667
	nhpid_ingredient	29668
	nhpid_ingredient	29669
	nhpid_ingredient	29670
	nhpid_ingredient	29671
	nhpid_ingredient	29672
	nhpid_ingredient	29673
	nhpid_ingredient	29674
	nhpid_ingredient	29675
	nhpid_ingredient	29676
	nhpid_ingredient	29677
	nhpid_ingredient	29678
	nhpid_ingredient	29679
	nhpid_ingredient	29680
	nhpid_ingredient	29681
	nhpid_ingredient	29682
	nhpid_ingredient	29683
	nhpid_ingredient	29684
	nhpid_ingredient	29685
	nhpid_ingredient	29686
	nhpid_ingredient	29687
	nhpid_ingredient	29688
	nhpid_ingredient	29689
	nhpid_ingredient	29690
	nhpid_ingredient	29691
	nhpid_ingredient	29692
	nhpid_ingredient	29693
	nhpid_ingredient	29694
	nhpid_ingredient	29695
	nhpid_ingredient	29696
	nhpid_ingredient	29697
	nhpid_ingredient	29698
	nhpid_ingredient	29699
	nhpid_ingredient	29700
	nhpid_ingredient	29701
	nhpid_ingredient	29702
	nhpid_ingredient	29703
	nhpid_ingredient	29704
	nhpid_ingredient	29705
	nhpid_ingredient	29706
	nhpid_ingredient	29707
	nhpid_ingredient	29708
	nhpid_ingredient	29709
	nhpid_ingredient	29710
	nhpid_ingredient	29711
	nhpid_ingredient	29712
	nhpid_ingredient	29713
	nhpid_ingredient	29714
	nhpid_ingredient	29715
	nhpid_ingredient	29716
	nhpid_ingredient	29717
	nhpid_ingredient	29718
	nhpid_ingredient	29719
	nhpid_ingredient	29720
	nhpid_ingredient	29721
	nhpid_ingredient	29722
	nhpid_ingredient	29723
	nhpid_ingredient	29724
	nhpid_ingredient	29725
	nhpid_ingredient	29726
	nhpid_ingredient	29727
	nhpid_ingredient	29728
	nhpid_ingredient	29729
	nhpid_ingredient	29730
	nhpid_ingredient	29731
	nhpid_ingredient	29732
	nhpid_ingredient	29733
	nhpid_ingredient	29734
	nhpid_ingredient	29735
	nhpid_ingredient	29736
	nhpid_ingredient	29737
	nhpid_ingredient	29738
	nhpid_ingredient	29739
	nhpid_ingredient	29740
	nhpid_ingredient	29741
	nhpid_ingredient	29742
	nhpid_ingredient	29743
	nhpid_ingredient	29744
	nhpid_ingredient	29745
	nhpid_ingredient	29746
